date,ticker,signal,confidence,signal_source,sector,n_matches,raw_prob,mean_7d_return
2024-02-09,QQQ,HOLD,0.518337,KNN,Index,51,0.470588,-0.5309
2024-02-12,QQQ,HOLD,0.576118,KNN,Index,51,0.588235,-0.3092
2024-02-13,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.2181
2024-02-14,QQQ,HOLD,0.557009,KNN,Index,51,0.54902,0.2852
2024-02-15,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,-0.0763
2024-02-16,QQQ,HOLD,0.557009,KNN,Index,51,0.54902,0.5752
2024-02-20,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.7222
2024-02-21,QQQ,HOLD,0.613609,KNN,Index,51,0.666667,1.182
2024-02-22,QQQ,HOLD,0.547387,KNN,Index,51,0.529412,0.4748
2024-02-23,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,-0.1092
2024-02-26,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.3858
2024-02-27,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,-0.1971
2024-02-28,QQQ,HOLD,0.547387,KNN,Index,51,0.529412,0.2181
2024-02-29,QQQ,HOLD,0.440799,KNN,Index,51,0.313725,-1.1819
2024-03-01,QQQ,HOLD,0.595002,KNN,Index,51,0.627451,0.8228
2024-03-04,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,-0.1323
2024-03-05,QQQ,HOLD,0.547387,KNN,Index,51,0.529412,-0.0968
2024-03-06,QQQ,HOLD,0.604343,KNN,Index,51,0.647059,0.6051
2024-03-07,QQQ,HOLD,0.604343,KNN,Index,51,0.647059,0.893
2024-03-08,QQQ,HOLD,0.508617,KNN,Index,51,0.45098,-0.8204
2024-03-11,QQQ,HOLD,0.566588,KNN,Index,51,0.568627,0.2613
2024-03-12,QQQ,HOLD,0.63189,KNN,Index,51,0.705882,1.1851
2024-03-13,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,0.1337
2024-03-14,QQQ,HOLD,0.63189,KNN,Index,51,0.705882,0.4472
2024-03-15,QQQ,HOLD,0.63189,KNN,Index,51,0.705882,0.5727
2024-03-18,QQQ,HOLD,0.479445,KNN,Index,51,0.392157,-0.7278
2024-03-19,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,-0.3384
2024-03-20,QQQ,HOLD,0.595002,KNN,Index,51,0.627451,0.0658
2024-03-21,QQQ,HOLD,0.604343,KNN,Index,51,0.647059,0.4946
2024-03-22,QQQ,HOLD,0.595002,KNN,Index,51,0.627451,0.2785
2024-03-25,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,-0.1391
2024-03-26,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,-0.3695
2024-03-27,QQQ,HOLD,0.576118,KNN,Index,51,0.588235,0.127
2024-03-28,QQQ,HOLD,0.557009,KNN,Index,51,0.54902,0.2085
2024-04-01,QQQ,HOLD,0.622793,KNN,Index,51,0.686275,0.7904
